amal el fallah-seghrouchni,059818360
amalia todirasc,130431796
andrea cynthia duhamel,193070456
anne guerin dugue,079208797
annie geniet,02991390X
carole gallet delporte,131344579
catherine mongenet,113506996
cecile roisin,067278736
christine paulin,071516689
claudette cayrol,069990115
corinne vasseur,09366656X
esther valduriez,117946451
francoise dreysse,291536255
isabelle guerin lassous,083189181
isabelle rennesson,143117912
isabelle ryl,114181721
kathia oliveira,171948696
katia jaffres runser,185513484
lynda lechani,110204875
marie helene abel,103261354
marie laure mugnier,129977896
marie-christine schiex,122407636
marie-jose caraty,161149626
marta rukoz castillo,158600908
meltem ozturk escoffier,274053381
mireille clerbout,111696607
mireille fornarino,067818234
nadia-lynda mokdad,061649031
nadine jessel,115129685
nahid emad-petiton,098461575
nazha selmaoui-folcher,s199280
parisa ghodous-shariat,081360894
rosine cicchetti,070127093
safia kedad sidhoum,155058789
sandrine blazy-darmon,153042567
sophie dupuy chessa,122141598
stephanie jean daubias,055058817
marie claude arnaud,050719270
indira chatterji,12742685X
clotilde fermanian,16060544X
lucy moser jauslin,130510041
stephanie nivoche,282301127
florence soriano gafiuk,120383861
marie-claude arnaud-delabriere,050719270
maha abboud blanchard,157447596
benedicte alziary-chassat,083765956
karine beauchard-leroy,144481316
fatiha boussouira,060899786
claire chainais,159317762
sophie dabo,070941696
julie horoks,102198608
ingrid lacroix,112228046
martine marion,033978611
guillemette marot briend,144465469
gisele mophou loudjom,174652887
marie claire quenez,14536271X
magali ribot-barre,080204880
cristina rio-butucea,17181584X
adeline samson leclercq,116293632
marcela szopos,090421868
marie luce taupin,185778550
anne francoise yao lafourcade,055309704
fatiha alabau,060899786
mireille canalis durand,076892387
elisabeth gambaudo,099434784
sophie lacroix,112378870
veronique maume deschamps,148013546
christine thomas,076657833
lioudmila vostrikova-jacod,154208663
sophie weinryb,03335295X
